id;staff_id;staff_name;phone_number;address;photo;photo_content_type;is_teaching_staff;status;salary
1;66036;Lead Multi-channelled;33781;Hill fuchsia;../fake-data/blob/hipster.png;image/png;false;Small Awesome Central;58030
2;16601;override navigate;16069;feed overriding;../fake-data/blob/hipster.png;image/png;true;Sleek;70352
3;71595;Reverse-engineered;84028;JBOD Regional bypassing;../fake-data/blob/hipster.png;image/png;false;THX process driver;46449
4;36369;alarm FTP world-class;57098;Pennsylvania Jewelery;../fake-data/blob/hipster.png;image/png;true;Lead e-tailers bus;29317
5;71106;Steel;1097;Fresh transmit Cambridgeshire;../fake-data/blob/hipster.png;image/png;true;gold GB Producer;8599
6;3455;Haven copy;55203;state;../fake-data/blob/hipster.png;image/png;false;maroon disintermediate;16848
7;72347;hack Toys Agent;50495;help-desk Pizza mindshare;../fake-data/blob/hipster.png;image/png;false;Metal Officer Robust;51125
8;27030;up De-engineered Marketing;35184;Granite Mouse;../fake-data/blob/hipster.png;image/png;true;Ball;86629
9;50679;SAS;88988;Unbranded Metal Fords;../fake-data/blob/hipster.png;image/png;false;sky core Metal;88247
10;79611;Metal;8052;markets Borders;../fake-data/blob/hipster.png;image/png;false;Cambridgeshire Kansas;85631
