id;student_id;student_name;parent_name;phone_number;address;photo;photo_content_type;status;comments
1;82925;concept radical;Cotton Facilitator frame;83886;Shoes;../fake-data/blob/hipster.png;image/png;Bedfordshire Monitored Tasty;cross-platform Avon connect
2;1588;Bedfordshire partnerships Planner;Intranet virtual;75435;multi-byte eco-centric;../fake-data/blob/hipster.png;image/png;Money Handmade;leading parsing bypassing
3;84864;Iran;Uganda quantify;18567;virtual transmit;../fake-data/blob/hipster.png;image/png;revolutionary solution-oriented Pound;quantifying
4;23077;system Developer Chief;Savings;62186;online system;../fake-data/blob/hipster.png;image/png;group deposit;clear-thinking Keyboard
5;31755;deploy Central;Euro copying Handcrafted;74474;superstructure;../fake-data/blob/hipster.png;image/png;Illinois object-oriented PNG;Supervisor cross-platform
6;36222;Intranet Granite Stand-alone;Ferry white input;41358;Awesome Soft Guatemala;../fake-data/blob/hipster.png;image/png;Lead;Azerbaijanian calculating
7;4851;Books Buckinghamshire;compressing Steel Triple-buffered;54242;Health;../fake-data/blob/hipster.png;image/png;Buckinghamshire;architecture Maine Frozen
8;1045;Alabama National;Home invoice;54614;Card;../fake-data/blob/hipster.png;image/png;asynchronous Strategist Forward;gold Future-proofed
9;28986;orange Officer Concrete;out-of-the-box port Washington;10642;Myanmar Iceland;../fake-data/blob/hipster.png;image/png;Regional;Frozen deposit
10;23470;Burg;Handcrafted markets program;339;ROI Steel deposit;../fake-data/blob/hipster.png;image/png;Rubber;Buckinghamshire Chips Bacon
